,precision,recall,f1-score,support
1,0.5182630164839155,0.6000756715853197,0.5561768201211791,23787.0
2,0.41761865504651985,0.14907929033885478,0.21972302258574214,23786.0
3,0.43497707071278946,0.6460102581350374,0.5198944376776289,23786.0
accuracy,0.4650569654843818,0.4650569654843818,0.4650569654843818,0.4650569654843818
macro avg,0.4569529140810749,0.46505507335307067,0.43193142679485,71359.0
weighted avg,0.4569537732593482,0.4650569654843818,0.4319331679262186,71359.0
time,0.051,0.051,0.051,0.051
