,precision,recall,f1-score,support
1,0.533482768282432,0.40021860680203475,0.45734050730207537,23787.0
2,0.35846248588730373,0.29366013621458,0.32284156036235906,23786.0
3,0.4272070059950629,0.6111578239300429,0.5028885737018716,23786.0
accuracy,0.43501170139716083,0.43501170139716083,0.43501170139716083,0.43501170139716083
macro avg,0.4397174200549328,0.43501218898221916,0.42769021378876865,71359.0
weighted avg,0.4397187340496389,0.43501170139716083,0.4276906292975834,71359.0
time,0.072,0.072,0.072,0.072
