,precision,recall,f1-score,support
1,0.5231330768471935,0.44587379661159454,0.48142348108304395,23787.0
2,0.36800155520995337,0.23875388884217608,0.28961191289713906,23786.0
3,0.4161220654643368,0.6237282435045826,0.4992008613873047,23786.0
accuracy,0.43611877969141943,0.43611877969141943,0.43611877969141943,0.43611877969141943
macro avg,0.4357522325071612,0.4361186429861177,0.4234120851224959,71359.0
weighted avg,0.4357534570316688,0.43611877969141943,0.42341289807385396,71359.0
time,0.055,0.055,0.055,0.055
