,precision,recall,f1-score,support
1,0.53700535979017,0.3959305503005843,0.45580157289776163,23787.0
2,0.35591872791519436,0.3387707054569915,0.3471330719855254,23786.0
3,0.4439562554119496,0.5819809972252585,0.5036840285989775,23786.0
accuracy,0.43889348225171315,0.43889348225171315,0.43889348225171315,0.43889348225171315
macro avg,0.44562678103910464,0.43889408432761146,0.4355395578274215,71359.0
weighted avg,0.4456280615864603,0.43889348225171315,0.4355398417721947,71359.0
time,0.131,0.131,0.131,0.131
