,precision,recall,f1-score,support
1,0.9142857142857143,0.06911447084233262,0.12851405622489961,463.0
2,0.7034428794992176,0.14728047182175621,0.24356542942292062,6104.0
3,0.8074102131469302,0.9857485180981208,0.8877110623154387,23787.0
accuracy,0.8031560914541741,0.8031560914541741,0.8031560914541741,0.8031560914541741
macro avg,0.8083796023106208,0.4007144869207366,0.41993018265441967,30354.0
weighted avg,0.7881332398465948,0.8031560914541741,0.7465971018161355,30354.0
time,15.222,15.222,15.222,15.222
