,precision,recall,f1-score,support
1,0.6451612903225806,0.2159827213822894,0.3236245954692556,463.0
2,0.6105662764947801,0.3161861074705111,0.41662169454937936,6104.0
3,0.834603151120645,0.9486694412914617,0.8879881947860304,23787.0
accuracy,0.810305066877512,0.810305066877512,0.810305066877512,0.810305066877512
macro avg,0.6967769059793353,0.49361275671475413,0.5427448282682218,30354.0
weighted avg,0.7866611117101626,0.810305066877512,0.7845909007250109,30354.0
time,14.952,14.952,14.952,14.952
