,precision,recall,f1-score,support
1,0.6650717703349283,0.3002159827213823,0.4136904761904762,463.0
2,0.6506376195536663,0.4012123197903014,0.4963518443453587,6104.0
3,0.8519009893483946,0.9448017824862319,0.8959496093127092,23787.0
accuracy,0.8256572445147262,0.8256572445147262,0.8256572445147262,0.8256572445147262
macro avg,0.7225367930789964,0.5487433616659718,0.6019973099495147,30354.0
weighted avg,0.8085784111830703,0.8256572445147262,0.8082369277552109,30354.0
time,11.586,11.586,11.586,11.586
