,precision,recall,f1-score,support
1,0.7814569536423841,0.509719222462203,0.6169934640522876,463.0
2,0.705909617612978,0.4990170380078637,0.5847010269699588,6104.0
3,0.8747717294167929,0.9464833732711144,0.9092157337856392,23787.0
accuracy,0.8498385715226988,0.8498385715226988,0.8498385715226988,0.8498385715226988
macro avg,0.787379433557385,0.651739877913727,0.7036367416026286,30354.0
weighted avg,0.8393912500192163,0.8498385715226988,0.8395004843526336,30354.0
time,11.805,11.805,11.805,11.805
