,precision,recall,f1-score,support
1,0.9459459459459459,0.05663430420711974,0.10687022900763359,618.0
2,0.6875,0.13515173854281853,0.2258958825341411,8139.0
3,0.8053044933693833,0.9860949077723474,0.8865768958185685,31715.0
accuracy,0.8007758450286618,0.8007758450286618,0.8007758450286618,0.8007758450286618
macro avg,0.8129168131051098,0.3926269835074286,0.40644766912011443,40472.0
weighted avg,0.7837613436895776,0.8007758450286618,0.7418066475676515,40472.0
time,11.739,11.739,11.739,11.739
