,precision,recall,f1-score,support
1,0.7894736842105263,0.09719222462203024,0.1730769230769231,463.0
2,0.6176100628930817,0.16087811271297509,0.2552638419547699,6104.0
3,0.808687776500505,0.9759532517761803,0.8844820360422143,23787.0
accuracy,0.7986426830071819,0.7986426830071819,0.7986426830071819,0.7986426830071819
macro avg,0.7385905078680377,0.41134119637039523,0.43760760035796914,30354.0
weighted avg,0.7699701614056257,0.7986426830071819,0.747098876524105,30354.0
time,11.995,11.995,11.995,11.995
