,precision,recall,f1-score,support
1,0.9760610712359458,0.9890276201286416,0.9825015660889538,23787.0
2,0.8950256035113388,0.8230051290675187,0.8575058040212011,23786.0
3,0.8447447210841474,0.901496678718574,0.872198495017287,23786.0
accuracy,0.9045109937078715,0.9045109937078715,0.9045109937078715,0.9045109937078715
macro avg,0.9052771319438108,0.9045098093049114,0.9040686217091473,71359.0
weighted avg,0.9052781238851115,0.9045109937078715,0.904069720840923,71359.0
time,33.962,33.962,33.962,33.962
