,precision,recall,f1-score,support
1,0.6376021798365122,0.5053995680345572,0.563855421686747,463.0
2,0.6449969431424496,0.5185124508519003,0.5748796657887567,6104.0
3,0.8767543859649123,0.9244124942195316,0.8999529334724866,23787.0
accuracy,0.8363971799433353,0.8363971799433353,0.8363971799433353,0.8363971799433353
macro avg,0.7197845029812914,0.6494415043686631,0.6795626736493302,30354.0
weighted avg,0.8265015394726621,0.8363971799433353,0.8294561167795208,30354.0
time,12.892,12.892,12.892,12.892
