,precision,recall,f1-score,support
1,0.9663976280678637,0.9865893134905621,0.976389091136028,23787.0
2,0.8749830201494226,0.812410661733793,0.8425366789474831,23786.0
3,0.8375350140056023,0.8799293702177752,0.8582089552238806,23786.0
accuracy,0.8929777603385698,0.8929777603385698,0.8929777603385698,0.8929777603385698
macro avg,0.8929718874076294,0.89297644848071,0.8923782417691305,71359.0
weighted avg,0.8929729163702084,0.8929777603385698,0.8923794190677106,71359.0
time,31.062,31.062,31.062,31.062
