,precision,recall,f1-score,support
1,0.9379758817961065,0.9580863496868037,0.9479244655186756,23787.0
2,0.843000263643554,0.8065668880854284,0.8243812306634581,23786.0
3,0.8323732718894009,0.8505002942907592,0.841339155749636,23786.0
accuracy,0.8717190543589456,0.8717190543589456,0.8717190543589456,0.8717190543589456
macro avg,0.8711164724430205,0.8717178440209971,0.8712149506439233,71359.0
weighted avg,0.8711174093873352,0.8717190543589456,0.8712160256241622,71359.0
time,30.921,30.921,30.921,30.921
