,precision,recall,f1-score,support
1,0.4666666666666667,0.49892008639308855,0.4822546972860125,463.0
2,0.562147375619764,0.5386631716906947,0.5501547728603697,6104.0
3,0.8785922532278218,0.8868289401774079,0.8826913823043288,23787.0
accuracy,0.8108980694471898,0.8108980694471898,0.8108980694471898,0.8108980694471898
macro avg,0.6358020985047509,0.6414707327537303,0.6383669508169036,30354.0
weighted avg,0.8086739202404922,0.8108980694471898,0.8097123466184419,30354.0
time,11.004,11.004,11.004,11.004
