,precision,recall,f1-score,support
1,0.6724137931034483,0.08423326133909287,0.14971209213051823,463.0
2,0.553415061295972,0.15530799475753604,0.24254829218370216,6104.0
3,0.8063184410313823,0.9688905704796738,0.8801603971739546,23787.0
accuracy,0.7917902088686829,0.7917902088686829,0.7917902088686829,0.7917902088686829
macro avg,0.6773824318102676,0.4028106088587675,0.4241402604960583,30354.0
weighted avg,0.7534186557676418,0.7917902088686829,0.7407988021915597,30354.0
time,15.573,15.573,15.573,15.573
