,precision,recall,f1-score,support
1,0.9375,0.05829015544041451,0.10975609756097561,772.0
2,0.6611909650924025,0.12659720857086693,0.21250618709783864,10174.0
3,0.8037577428847776,0.9852180712862296,0.8852849177206582,39643.0
accuracy,0.7983949079839491,0.7983949079839491,0.7983949079839491,0.7983949079839491
macro avg,0.8008162359923934,0.39003514509917037,0.40251573412649083,50589.0
weighted avg,0.7771269461746891,0.7983949079839491,0.7381470210530063,50589.0
time,9.859,9.859,9.859,9.859
