,precision,recall,f1-score,support
1,0.7421383647798742,0.509719222462203,0.6043533930857874,463.0
2,0.6883731410545291,0.5004914809960681,0.5795864162398027,6104.0
3,0.8747558403000234,0.9413545213772229,0.9068340589247748,23787.0
accuracy,0.8461158331686104,0.8461158331686104,0.8461158331686104,0.8461158331686104
macro avg,0.7684224487114756,0.6505217416118313,0.6969246227501217,30354.0
weighted avg,0.8352525824967577,0.8461158331686104,0.8364127582977562,30354.0
time,14.744,14.744,14.744,14.744
