,precision,recall,f1-score,support
1,0.9166666666666666,0.07127429805615551,0.13226452905811623,463.0
2,0.7115384615384616,0.15153997378768022,0.24986493787142086,6104.0
3,0.8081880212282032,0.985916677176609,0.888249218823975,23787.0
accuracy,0.8041773736575081,0.8041773736575081,0.8041773736575081,0.8041773736575081
macro avg,0.8121310498111104,0.40291031634014823,0.4234595619178374,30354.0
weighted avg,0.7904070599213516,0.8041773736575081,0.7483428288162006,30354.0
time,14.56,14.56,14.56,14.56
