,precision,recall,f1-score,support
1,0.9554090574072558,0.9809139445915837,0.9679935281793856,23787.0
2,0.8401085196691901,0.8071554696039687,0.8233023864148031,23786.0
3,0.829015113768477,0.8394013285125704,0.8341758930436599,23786.0
accuracy,0.8758250536022085,0.8758250536022085,0.8758250536022085,0.8758250536022085
macro avg,0.8748442302816409,0.8758235809027076,0.8751572692126163,71359.0
weighted avg,0.8748453592888736,0.8758250536022085,0.8751585701873912,71359.0
time,37.632,37.632,37.632,37.632
