,precision,recall,f1-score,support
1,0.9696969696969697,0.02960222016651249,0.05745062836624776,1081.0
2,0.5993223210504024,0.09934704767254089,0.17044085762466876,14243.0
3,0.7989361546667446,0.9850633321922128,0.8822902882225737,55501.0
accuracy,0.7923614542887398,0.7923614542887398,0.7923614542887398,0.7923614542887398
macro avg,0.7893184818047055,0.3713375333437554,0.37006059140449676,70825.0
weighted avg,0.7613998695816774,0.7923614542887398,0.7265469333011385,70825.0
time,6.585,6.585,6.585,6.585
