,precision,recall,f1-score,support
1,0.7864251980797002,0.8470593181149367,0.8156169041450777,23787.0
2,0.7016029593094945,0.45451105692424115,0.5516519964281158,23786.0
3,0.6232318902700386,0.7946691331035063,0.6985863438972557,23786.0
accuracy,0.698748581118009,0.698748581118009,0.698748581118009,0.698748581118009
macro avg,0.7037533492197444,0.698746502714228,0.6886184148234831,71359.0
weighted avg,0.7037545077540408,0.698748581118009,0.6886201945357733,71359.0
time,19.086,19.086,19.086,19.086
