,precision,recall,f1-score,support
1,0.8433491686460808,0.8955732122587968,0.868676983301731,23787.0
2,0.8207438870393755,0.6011519381148575,0.6939914579693263,23786.0
3,0.7693970777975381,0.9276044732195409,0.8411261269847321,23786.0
accuracy,0.8081111002116061,0.8081111002116061,0.8081111002116061,0.8081111002116061
macro avg,0.8111633778276648,0.808109874531065,0.8012648560852632,71359.0
weighted avg,0.8111638288680496,0.8081111002116061,0.8012658007751722,71359.0
time,29.419,29.419,29.419,29.419
