,precision,recall,f1-score,support
1,0.8299900695134061,0.8784209862529954,0.8535190555941341,23787.0
2,0.7918321043675554,0.5868998570587741,0.6741355997682057,23786.0
3,0.7565314842053653,0.9081812831077104,0.8254489873901415,23786.0
accuracy,0.7911685982146611,0.7911685982146611,0.7911685982146611,0.7911685982146611
macro avg,0.7927845526954423,0.79116737547316,0.7843678809174938,71359.0
weighted avg,0.7927850740805068,0.7911685982146611,0.784368849977804,71359.0
time,25.628,25.628,25.628,25.628
