,precision,recall,f1-score,support
1,0.7666666666666667,0.04967602591792657,0.09330628803245437,463.0
2,0.5961742826780021,0.09190694626474442,0.15926188786373316,6104.0
3,0.7984208555967737,0.9862529953335856,0.882452510814369,23787.0
accuracy,0.7921196547407261,0.7921196547407261,0.7921196547407261,0.7921196547407261
macro avg,0.7204206016471475,0.37594532250541884,0.37834022890351887,30354.0
weighted avg,0.7572659741784821,0.7921196547407261,0.7249862703307851,30354.0
time,12.677,12.677,12.677,12.677
