,precision,recall,f1-score,support
1,0.7619047619047619,0.03455723542116631,0.06611570247933884,463.0
2,0.621580547112462,0.06700524246395806,0.12097012718130731,6104.0
3,0.7940690817186183,0.9906251313742801,0.8815233249784894,23787.0
accuracy,0.7903077024444883,0.7903077024444883,0.7903077024444883,0.7903077024444883
macro avg,0.7258514635786141,0.3640625364198015,0.35620305154637855,30354.0
weighted avg,0.7588921002562149,0.7903077024444883,0.7161431296641617,30354.0
time,10.006,10.006,10.006,10.006
