,precision,recall,f1-score,support
1,0.38295969472931074,0.5400428805650145,0.44813451710244023,23787.0
2,0.31629392971246006,0.012486336500462457,0.024024266936299294,23786.0
3,0.38062696604837837,0.5900950138737072,0.4627608717154067,23786.0
accuracy,0.38087697417284433,0.38087697417284433,0.38087697417284433,0.38087697417284433
macro avg,0.3599601968300497,0.3808747436463948,0.31163988525138203,71359.0
weighted avg,0.35996051913694715,0.38087697417284433,0.31164179803928344,71359.0
time,1955.147,1955.147,1955.147,1955.147
