,precision,recall,f1-score,support
1,0.3957563174153036,0.6570815991928364,0.49398713673930567,23787.0
2,0.43723673125526535,0.021819557723030354,0.04156489008128779,23786.0
3,0.39810287502444747,0.5134532918523501,0.44847972972972977,23786.0
accuracy,0.39745512128813465,0.39745512128813465,0.39745512128813465,0.39745512128813465
macro avg,0.41036530789833886,0.3974514829227389,0.32801058551677437,71359.0
weighted avg,0.4103651031730696,0.39745512128813465,0.3280129114539543,71359.0
time,2537.084,2537.084,2537.084,2537.084
