,precision,recall,f1-score,support
1,0.3959231276304447,0.6564930424181276,0.49395056066045645,23787.0
2,0.4430929626411816,0.021441183889683007,0.04090307575089225,23786.0
3,0.3976792563219138,0.5143782056671992,0.44856283912597156,23786.0
accuracy,0.3974411076388402,0.3974411076388402,0.3974411076388402,0.3974411076388402
macro avg,0.41223178219784673,0.3974374773250033,0.3278054918457734,71359.0
weighted avg,0.4122315536540812,0.3974411076388402,0.32780782014449983,71359.0
time,5300.431,5300.431,5300.431,5300.431
