,precision,recall,f1-score,support
1,0.3955523057915837,0.659519905830916,0.4945151935443197,23787.0
2,0.4226327944572748,0.023080803834188177,0.04377117799481762,23786.0
3,0.3990591795782756,0.5100058858151854,0.44776229583833166,23786.0
accuracy,0.3975392031839011,0.3975392031839011,0.3975392031839011,0.3975392031839011
macro avg,0.4057480932757114,0.3975355318267632,0.32868288912582305,71359.0
weighted avg,0.4057479503955213,0.3975392031839011,0.3286852130415788,71359.0
time,1857.579,1857.579,1857.579,1857.579
