,precision,recall,f1-score,support
1,0.07487520798668885,0.09719222462203024,0.08458646616541354,463.0
2,0.35591958302308263,0.07830930537352555,0.12837384181549616,6104.0
3,0.7946497712073214,0.9490898389876824,0.865030557311723,23787.0
accuracy,0.7609870198326415,0.7609870198326415,0.7609870198326415,0.7609870198326415
macro avg,0.40848152073903093,0.3748637896610794,0.35933028843087755,30354.0
weighted avg,0.6954448989846244,0.7609870198326415,0.7049891062479517,30354.0
time,0.029,0.029,0.029,0.029
