,precision,recall,f1-score,support
1,0.07201309328968904,0.09503239740820735,0.0819366852886406,463.0
2,0.35662299854439594,0.08027522935779817,0.13105108317732014,6104.0
3,0.7944587401741338,0.947492327742044,0.8642533936651583,23787.0
accuracy,0.7600975159781248,0.7600975159781248,0.7600975159781248,0.7600975159781248
macro avg,0.4076982773360729,0.3742666515026832,0.3590803873770397,30354.0
weighted avg,0.6953929926148197,0.7600975159781248,0.7048780382195468,30354.0
time,0.027,0.027,0.027,0.027
