,precision,recall,f1-score,support
1,0.07525083612040134,0.09719222462203024,0.08482563619227144,463.0
2,0.3575757575757576,0.07732634338138926,0.12715517241379312,6104.0
3,0.7945561963707976,0.9498465548408794,0.8652892403730158,23787.0
accuracy,0.7613823548790933,0.7613823548790933,0.7613823548790933,0.7613823548790933
macro avg,0.4091275966889855,0.374788374281433,0.3590900163263601,30354.0
weighted avg,0.6957103447466012,0.7613823548790933,0.7049504053081552,30354.0
time,0.035,0.035,0.035,0.035
