,precision,recall,f1-score,support
1,0.4881457275950775,0.5903224450330012,0.5343938500180769,23787.0
2,0.4238118047793922,0.3347767594383251,0.3740692894891368,23786.0
3,0.4646698033943875,0.46502144118388966,0.4648455557890313,23786.0
accuracy,0.46337532756905225,0.46337532756905225,0.46337532756905225,0.46337532756905225
macro avg,0.4588757785896191,0.4633735485517387,0.4577695650987484,71359.0
weighted avg,0.45887618876841935,0.46337532756905225,0.4577706388846046,71359.0
time,5.52,5.52,5.52,5.52
