,precision,recall,f1-score,support
1,0.0,0.0,0.0,463.0
2,0.47058823529411764,0.005242463958060288,0.010369410239792612,6104.0
3,0.7845209007462194,0.9988649262202043,0.8788119764022709,23787.0
accuracy,0.7838176187652369,0.7838176187652369,0.7838176187652369,0.7838176187652369
macro avg,0.4183697120134457,0.3347024633927549,0.2963937955473545,30354.0
weighted avg,0.7094244334942879,0.7838176187652369,0.6907687738941989,30354.0
time,17.737,17.737,17.737,17.737
