,precision,recall,f1-score,support
1,0.5630122304879587,0.7508723252196577,0.6435120967015546,23787.0
2,0.47046093919065135,0.3655932060876146,0.41145020108824226,23786.0
3,0.518557042220226,0.46111157823930043,0.4881500767741505,23786.0
accuracy,0.5258621897728387,0.5258621897728387,0.5258621897728387,0.5258621897728387
macro avg,0.5173434039662786,0.5258590365155242,0.5143707915213158,71359.0
weighted avg,0.5173440439531972,0.5258621897728387,0.514372601262276,71359.0
time,9.309,9.309,9.309,9.309
