Counts,latitude,longitude,Crime_level
0.0,51.29,-0.51,Low
0.0,51.29,-0.5019,Low
0.0,51.29,-0.4938,Low
0.0,51.29,-0.4857,Low
0.0,51.29,-0.4776,Low
0.0,51.29,-0.46950000000000000,Low
0.0,51.29,-0.46140000000000000,Low
0.0,51.29,-0.45330000000000000,Low
0.0,51.29,-0.44520000000000000,Low
0.0,51.29,-0.43710000000000000,Low
0.0,51.29,-0.42900000000000000,Low
0.0,51.29,-0.42090000000000000,Low
0.0,51.29,-0.41280000000000000,Low
0.0,51.29,-0.40470000000000000,Low
0.0,51.29,-0.39660000000000000,Low
0.0,51.29,-0.38850000000000000,Low
0.0,51.29,-0.38040000000000000,Low
0.0,51.29,-0.3723000000000000,Low
0.0,51.29,-0.3642000000000000,Low
0.0,51.29,-0.3561000000000000,Low
0.0,51.29,-0.3480000000000000,Low
0.0,51.29,-0.3399000000000000,Low
0.0,51.29,-0.3318000000000000,Low
0.0,51.29,-0.3237000000000000,Low
0.0,51.29,-0.3156000000000000,Low
0.0,51.29,-0.3075000000000000,Low
0.0,51.29,-0.2994000000000000,Low
0.0,51.29,-0.2913000000000000,Low
0.0,51.29,-0.2832000000000000,Low
0.0,51.29,-0.2751000000000000,Low
0.0,51.29,-0.2670000000000000,Low
0.0,51.29,-0.25890000000000000,Low
0.0,51.29,-0.25080000000000000,Low
0.0,51.29,-0.24270000000000000,Low
0.0,51.29,-0.23460000000000000,Low
0.0,51.29,-0.22650000000000000,Low
0.0,51.29,-0.21840000000000000,Low
0.0,51.29,-0.21030000000000000,Low
0.0,51.29,-0.20220000000000000,Low
0.0,51.29,-0.19410000000000000,Low
0.0,51.29,-0.18600000000000000,Low
0.0,51.29,-0.17790000000000000,Low
0.0,51.29,-0.16980000000000000,Low
0.0,51.29,-0.16170000000000000,Low
0.0,51.29,-0.15360000000000000,Low
0.0,51.29,-0.14550000000000000,Low
0.0,51.29,-0.1374000000000000,Low
0.0,51.29,-0.1293000000000000,Low
0.0,51.29,-0.1212000000000000,Low
0.0,51.29,-0.1131000000000000,Low
0.0,51.29,-0.1050000000000000,Low
2.0,51.29,-0.09690000000000020,Low
0.0,51.29,-0.08880000000000020,Low
0.0,51.29,-0.08070000000000020,Low
0.0,51.29,-0.07260000000000020,Low
0.0,51.29,-0.06450000000000020,Low
0.0,51.29,-0.05640000000000020,Low
0.0,51.29,-0.04830000000000020,Low
0.0,51.29,-0.040200000000000200,Low
0.0,51.29,-0.03210000000000020,Low
0.0,51.29,-0.024000000000000200,Low
0.0,51.29,-0.015900000000000200,Low
0.0,51.29,-0.007800000000000250,Low
0.0,51.29,0.0002999999999997450,Low
0.0,51.29,0.008399999999999740,Low
0.0,51.29,0.016499999999999700,Low
0.0,51.29,0.024599999999999700,Low
0.0,51.29,0.03269999999999970,Low
0.0,51.29,0.040799999999999700,Low
0.0,51.29,0.04889999999999970,Low
1.0,51.29,0.05699999999999970,Low
0.0,51.29,0.06509999999999970,Low
0.0,51.29,0.07319999999999970,Low
0.0,51.29,0.0812999999999997,Low
0.0,51.29,0.0893999999999997,Low
0.0,51.29,0.0974999999999997,Low
0.0,51.29,0.1056000000000000,Low
0.0,51.29,0.11370000000000000,Low
0.0,51.29,0.12180000000000000,Low
0.0,51.29,0.12990000000000000,Low
0.0,51.29,0.13800000000000000,Low
0.0,51.29,0.14610000000000000,Low
0.0,51.29,0.15420000000000000,Low
0.0,51.29,0.16230000000000000,Low
0.0,51.29,0.17040000000000000,Low
0.0,51.29,0.17850000000000000,Low
0.0,51.29,0.18660000000000000,Low
0.0,51.29,0.19470000000000000,Low
0.0,51.29,0.20280000000000000,Low
0.0,51.29,0.21090000000000000,Low
0.0,51.29,0.21900000000000000,Low
0.0,51.29,0.22710000000000000,Low
0.0,51.29,0.23520000000000000,Low
0.0,51.29,0.24330000000000000,Low
0.0,51.29,0.2514000000000000,Low
0.0,51.29,0.2595000000000000,Low
0.0,51.29,0.2676000000000000,Low
0.0,51.29,0.2757000000000000,Low
0.0,51.29,0.2838000000000000,Low
0.0,51.29,0.2919000000000000,Low
0.0,51.2941,0.3000000000000000,Low
0.0,51.2941,-0.51,Low
0.0,51.2941,-0.5019,Low
0.0,51.2941,-0.4938,Low
0.0,51.2941,-0.4857,Low
0.0,51.2941,-0.4776,Low
0.0,51.2941,-0.46950000000000000,Low
0.0,51.2941,-0.46140000000000000,Low
0.0,51.2941,-0.45330000000000000,Low
0.0,51.2941,-0.44520000000000000,Low
0.0,51.2941,-0.43710000000000000,Low
0.0,51.2941,-0.42900000000000000,Low
0.0,51.2941,-0.42090000000000000,Low
0.0,51.2941,-0.41280000000000000,Low
0.0,51.2941,-0.40470000000000000,Low
0.0,51.2941,-0.39660000000000000,Low
0.0,51.2941,-0.38850000000000000,Low
0.0,51.2941,-0.38040000000000000,Low
0.0,51.2941,-0.3723000000000000,Low
0.0,51.2941,-0.3642000000000000,Low
0.0,51.2941,-0.3561000000000000,Low
0.0,51.2941,-0.3480000000000000,Low
0.0,51.2941,-0.3399000000000000,Low
0.0,51.2941,-0.3318000000000000,Low
0.0,51.2941,-0.3237000000000000,Low
0.0,51.2941,-0.3156000000000000,Low
0.0,51.2941,-0.3075000000000000,Low
0.0,51.2941,-0.2994000000000000,Low
0.0,51.2941,-0.2913000000000000,Low
0.0,51.2941,-0.2832000000000000,Low
0.0,51.2941,-0.2751000000000000,Low
0.0,51.2941,-0.2670000000000000,Low
0.0,51.2941,-0.25890000000000000,Low
1.0,51.2941,-0.25080000000000000,Low
