,precision,recall,f1-score,support
1,0.14492753623188406,0.02159827213822894,0.03759398496240601,463.0
2,0.38565440149045177,0.13564875491480996,0.20070294509756395,6104.0
3,0.7996659321913426,0.9459368562660276,0.8666730861819931,23787.0
accuracy,0.7688937207616788,0.7688937207616788,0.7688937207616788,0.7688937207616788
macro avg,0.4434159566378928,0.3677279611063555,0.36832333874732104,30354.0
weighted avg,0.7064238467750064,0.7688937207616788,0.7201044176360346,30354.0
time,11.979,11.979,11.979,11.979
