,precision,recall,f1-score,support
1,0.8382708585247884,0.9326102492958338,0.8829277029312849,23787.0
2,0.6889099167297502,0.7651980156394518,0.725052782535952,23786.0
3,0.7448985115020298,0.5785756327251325,0.6512860557014741,23786.0
accuracy,0.7587970683445676,0.7587970683445676,0.7587970683445676,0.7587970683445676
macro avg,0.7573597622521895,0.7587946325534727,0.753088847056237,71359.0
weighted avg,0.7573608961119166,0.7587970683445676,0.753090666572428,71359.0
time,64.734,64.734,64.734,64.734
