,precision,recall,f1-score,support
1,0.14492753623188406,0.02159827213822894,0.03759398496240601,463.0
2,0.3862261516984644,0.13597640891218873,0.20113897976493397,6104.0
3,0.7997227750924083,0.9459368562660276,0.8667064691947691,23787.0
accuracy,0.7689596099360875,0.7689596099360875,0.7689596099360875,0.7689596099360875
macro avg,0.44362548767425225,0.36783717910548175,0.36847981130736973,30354.0
weighted avg,0.7065833672783128,0.7689596099360875,0.7202182621815486,30354.0
time,0.8,0.8,0.8,0.8
