,precision,recall,f1-score,support
1,0.8621964307007433,0.9119266826417791,0.8863645650308504,23787.0
2,0.8365734775057426,0.6277642310602876,0.7172811336615826,23786.0
3,0.7767627244188917,0.9258387286639199,0.8447743445154113,23786.0
accuracy,0.8218444765201306,0.8218444765201306,0.8218444765201306,0.8218444765201306
macro avg,0.8251775442084592,0.8218432141219956,0.8161400144026149,71359.0
weighted avg,0.8251780629781519,0.8218444765201306,0.8161409985048391,71359.0
time,53.142,53.142,53.142,53.142
