Counts,latitude,longitude,Crime_level
0.0,51.29,-0.51,3
0.0,51.29,-0.5019,3
0.0,51.29,-0.4938,3
0.0,51.29,-0.4857,3
0.0,51.29,-0.4776,3
0.0,51.29,-0.46950000000000003,3
0.0,51.29,-0.46140000000000003,3
0.0,51.29,-0.45330000000000004,3
0.0,51.29,-0.44520000000000004,3
0.0,51.29,-0.43710000000000004,3
0.0,51.29,-0.42900000000000005,3
0.0,51.29,-0.42090000000000005,3
0.0,51.29,-0.41280000000000006,3
0.0,51.29,-0.40470000000000006,3
0.0,51.29,-0.39660000000000006,3
0.0,51.29,-0.38850000000000007,3
0.0,51.29,-0.38040000000000007,3
0.0,51.29,-0.3723000000000001,3
0.0,51.29,-0.3642000000000001,3
0.0,51.29,-0.3561000000000001,3
0.0,51.29,-0.3480000000000001,3
0.0,51.29,-0.3399000000000001,3
0.0,51.29,-0.3318000000000001,3
0.0,51.29,-0.3237000000000001,3
0.0,51.29,-0.3156000000000001,3
0.0,51.29,-0.3075000000000001,3
0.0,51.29,-0.2994000000000001,3
0.0,51.29,-0.2913000000000001,3
0.0,51.29,-0.2832000000000001,3
0.0,51.29,-0.2751000000000001,3
0.0,51.29,-0.2670000000000001,3
0.0,51.29,-0.25890000000000013,3
0.0,51.29,-0.25080000000000013,3
0.0,51.29,-0.24270000000000014,3
0.0,51.29,-0.23460000000000014,3
0.0,51.29,-0.22650000000000015,3
0.0,51.29,-0.21840000000000015,3
0.0,51.29,-0.21030000000000015,3
0.0,51.29,-0.20220000000000016,3
0.0,51.29,-0.19410000000000016,3
0.0,51.29,-0.18600000000000017,3
0.0,51.29,-0.17790000000000017,3
0.0,51.29,-0.16980000000000017,3
0.0,51.29,-0.16170000000000018,3
0.0,51.29,-0.15360000000000018,3
0.0,51.29,-0.14550000000000018,3
0.0,51.29,-0.1374000000000002,3
0.0,51.29,-0.1293000000000002,3
0.0,51.29,-0.1212000000000002,3
0.0,51.29,-0.1131000000000002,3
0.0,51.29,-0.1050000000000002,3
2.0,51.29,-0.09690000000000021,3
0.0,51.29,-0.08880000000000021,3
0.0,51.29,-0.08070000000000022,3
0.0,51.29,-0.07260000000000022,3
0.0,51.29,-0.06450000000000022,3
0.0,51.29,-0.05640000000000023,3
0.0,51.29,-0.04830000000000023,3
0.0,51.29,-0.040200000000000236,3
0.0,51.29,-0.03210000000000024,3
0.0,51.29,-0.024000000000000243,3
0.0,51.29,-0.015900000000000247,3
0.0,51.29,-0.007800000000000251,3
0.0,51.29,0.0002999999999997449,3
0.0,51.29,0.008399999999999741,3
0.0,51.29,0.016499999999999737,3
0.0,51.29,0.024599999999999733,3
0.0,51.29,0.03269999999999973,3
0.0,51.29,0.040799999999999725,3
0.0,51.29,0.04889999999999972,3
1.0,51.29,0.05699999999999972,3
0.0,51.29,0.06509999999999971,3
0.0,51.29,0.07319999999999971,3
0.0,51.29,0.0812999999999997,3
0.0,51.29,0.0893999999999997,3
0.0,51.29,0.0974999999999997,3
0.0,51.29,0.1055999999999997,3
0.0,51.29,0.11369999999999969,3
0.0,51.29,0.12179999999999969,3
0.0,51.29,0.12989999999999968,3
0.0,51.29,0.13799999999999968,3
0.0,51.29,0.14609999999999967,3
0.0,51.29,0.15419999999999967,3
0.0,51.29,0.16229999999999967,3
0.0,51.29,0.17039999999999966,3
0.0,51.29,0.17849999999999966,3
0.0,51.29,0.18659999999999966,3
0.0,51.29,0.19469999999999965,3
0.0,51.29,0.20279999999999965,3
0.0,51.29,0.21089999999999964,3
0.0,51.29,0.21899999999999964,3
0.0,51.29,0.22709999999999964,3
0.0,51.29,0.23519999999999963,3
0.0,51.29,0.24329999999999963,3
0.0,51.29,0.2513999999999996,3
0.0,51.29,0.2594999999999996,3
0.0,51.29,0.2675999999999996,3
0.0,51.29,0.2756999999999996,3
0.0,51.29,0.2837999999999996,3
0.0,51.29,0.2918999999999996,3
